state,parlimen,code_parlimen,dun,code_dun,area_compute,area_gazette,diff,diff_perc
Melaka,P.123 Kota Melaka,P.123,N.16 Tengkera,N.16,5.3,5,0.3,6.0
Johor,P.142 Pulai,P.142,N.35 Tambatan,N.35,20.1,19,1.1,5.79
Kedah,P.015 Sungai Petani,P.015,N.27 Pantai Merdeka,N.27,138.5,131,7.5,5.73
Pahang,P.078 Kuantan,P.078,N.12 Beserah,N.12,326.5,309,17.5,5.66
Kelantan,P.022 Pasir Mas,P.022,N.10 Wakaf Bharu,N.10,48.5,46,2.5,5.43
Pulau Pinang,P.047 Bukit Bendera,P.047,N.21 Kebun Bunga,N.21,12.6,12,0.6,5.0
Terengganu,P.033 Besut,P.033,N.01 Kuala Besut,N.01,70.1,67,3.1,4.63
Johor,P.139 Kota Tinggi,P.139,N.30 Pengerang,N.30,944.5,903,41.5,4.6
Melaka,P.120 Alor Gajah,P.120,N.01 Kuala Linggi,N.01,65.8,63,2.8,4.44
Kelantan,P.020 Pengkalan Chepa,P.020,N.06 Panchor,N.06,27.1,26,1.1,4.23
Johor,P.141 Johor Bahru,P.141,N.33 Tanjong Puteri,N.33,12.5,12,0.5,4.17
Johor,P.129 Mersing,P.129,N.09 Endau,N.09,527.3,507,20.3,4.0
Selangor,P.089 Kuala Selangor,P.089,N.10 Permatang,N.10,231.9,223,8.9,3.99
Selangor,P.102 Sepang,P.102,N.46 Batu Laut,N.46,333.7,321,12.7,3.96
Perak,P.063 Batu Gajah,P.063,N.27 Menglembu,N.27,44.7,43,1.7,3.95
Kedah,P.018 Kulim-Bandar Baharu,P.018,N.36 Bandar Baharu,N.36,275.3,265,10.3,3.89
Kedah,P.011 Pendang,P.011,N.19 Sungai Tiang,N.19,473.7,456,17.7,3.88
Selangor,P.095 PJ Selatan,P.095,N.28 Taman Medan,N.28,8.3,8,0.3,3.75
Perlis,P.003 Arau,P.003,N.13 Guar Sanji,N.13,44.6,43,1.6,3.72
Terengganu,P.034 Setiu,P.034,N.08 Batu Rakit,N.08,130.6,126,4.6,3.65
Kelantan,P.024 Kubang Kerian,P.024,N.18 Kenali,N.18,43.5,42,1.5,3.57
Perlis,P.002 Kangar,P.002,N.10 Kayang,N.10,32.1,31,1.1,3.55
Kelantan,P.024 Kubang Kerian,P.024,N.16 Salor,N.16,41.4,40,1.4,3.5
Selangor,P.090 Selayang,P.090,N.14 Selayang Baharu,N.14,23.8,23,0.8,3.48
Negeri Sembilan,P.118 Rasah,P.118,N.25 Rahang,N.25,6.2,6,0.2,3.33
Terengganu,P.037 Marang,P.037,N.17 Alur Limbat,N.17,68.2,66,2.2,3.33
Kelantan,P.028 Pasir Puteh,P.028,N.29 Limbongan,N.29,90.8,88,2.8,3.18
Perak,P.061 Ipoh Timor,P.061,N.22 Taman Canning,N.22,22.7,22,0.7,3.18
Kedah,P.010 Kuala Kedah,P.010,N.16 Kubang Rotan,N.16,55.7,54,1.7,3.15
Kelantan,P.026 Peringat,P.026,N.22 Melor,N.22,52.6,51,1.6,3.14
Kelantan,P.027 Tanah Merah,P.027,N.25 Chetok,N.25,118.6,115,3.6,3.13
Pahang,P.085 Rompin,P.085,N.38 Tioman,N.38,1626.2,1578,48.2,3.05
Perlis,P.001 Padang Besar,P.001,N.02 Beseri,N.02,140.0,136,4.0,2.94
Pulau Pinang,P.050 Bayan Baru,P.050,N.28 Bukit Gelugor,N.28,7.2,7,0.2,2.86
Kedah,P.009 Alor Setar,P.009,N.12 Derga,N.12,7.2,7,0.2,2.86
Terengganu,P.036 Kuala Terengganu,P.036,N.14 Bandar,N.14,7.2,7,0.2,2.86
Perlis,P.003 Arau,P.003,N.11 Pauh,N.11,51.4,50,1.4,2.8
Pulau Pinang,P.044 Permatang Pauh,P.044,N.11 Permatang Pasir,N.11,29.8,29,0.8,2.76
Kedah,P.012 Yan,P.012,N.20 Sala,N.20,136.6,133,3.6,2.71
Negeri Sembilan,P.119 Telok Kemang,P.119,N.32 Lukut,N.32,186.8,182,4.8,2.64
Kedah,P.011 Pendang,P.011,N.18 Bukit Raya,N.18,164.1,160,4.1,2.56
Johor,P.144 Pontian,P.144,N.39 Pulai Sebatang,N.39,226.6,221,5.6,2.53
Pulau Pinang,P.041 Kepala Batas,P.041,N.02 Bertam,N.02,24.6,24,0.6,2.5
